trainingTopic;entity;date;startTime;endTime;trainingType;audience;contentType;deliveryMethod;location;facilitator;notes
Induction;Green Academy;2026-04-24;08:00;10:30;Nursery;Internal - Team;Theory;Online;Teams;Amber;
Nursery Foundation TEST;Bayt AlWard;2026-05-03;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/CKQgjLDTUWc9pF8P9?g_st=ic;Bernd Begert;
Softscape Maintenance - Plant Care;Nabatat;2026-05-03;08:00;10:00;Projects;External;Hybrid;Onsite;Package 1 ( https://maps.app.goo.gl/ykiMffSp32ummsN29?g_st=iw );Neale Du Plooy;
Nursery Foundation ;Rabiah Garden;2026-05-04;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/W5uUncch9Z4mRFdX7;Rami Bajjani;
Softscape Maintenance - Plant Care;Zaid Al Hussain;2026-05-05;08:00;10:00;Projects;External;Hybrid;Onsite;Package 2 ( https://maps.app.goo.gl/sBi7uVEsgcFs9KP56?g_st=iw ) ;Neale Du Plooy;
Nursery Foundation;Badan;2026-05-05;08:00;10:00;Nursery;External;Hybrid;Onsite;https://goo.gl/maps/z2uYrqJTVPSBSigF7;Bernd Begert;
Nursery Foundation ;DQ Nursery;2026-05-10;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/MpnFjtaac1NSuCvW6;Ramiz/ Bernd;
Softscape Maintenance - Plant Care;Safari;2026-05-10;08:00;10:00;Projects;External;Hybrid;Onsite;Package 3 ( https://maps.app.goo.gl/fbjUv5NabjAbjYxm6 ) ;Neale Du Plooy;
Nursery Foundation ;AlHadif;2026-05-11;08:00;10:00;Nursery;External;Hybrid;Onsite;https://goo.gl/maps/AxpVoxx72j6oCxk5A;Rami Bajjani;
Softscape Maintenance - Plant Care;Nabatat;2026-05-12;08:00;10:00;Projects;External;Hybrid;Onsite;Package 4 ( https://maps.app.goo.gl/DY2uvnJGcAw1ARA3A?g_st=com.google.maps.preview.copy );Neale Du Plooy;
Nursery Foundation ;CoE;2026-05-12;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/G8kNfzaZWFi1hq9C7;Abdulrahman/ Pierre;
Softscape Maintenance - Plant Care;Bawan;2026-05-13;08:00;10:00;Projects;External;Hybrid;Onsite;Package 5 ( https://maps.app.goo.gl/tj9MYazQaGCGws6t5 );Neale Du Plooy;
Facilitation Skills, Subject Mastery, Assessment;Green Academy;2026-06-01;10:00;12:00;Nursery;Internal - Teacher Training (TT);Hybrid;Onsite;CoE;Christian Klaua;
